,Ökobilanzdaten im Baubereich,,
,,,
,,,
ID-Nummer,BAUMATERIALIEN,"Bezug
Référence","Treibhausgas-
emissionen"
No d'identi-fication,,,Emissions de gaz
,,,à effet de serre
,Hinweis: Anzeigen der herstellerspezifischen und herstellerregionenspezifischen Daten durch Anklicken der '+' am linken Rand.,,Total
,,,Total
,,,kg CO2-eq
"Holzrechner: Mit dem Holzrechner (https://treeze.ch/de/rechner) können die Umweltkennwerte von Holzprodukten verschiedenster Herkunft berechnet werden. 
Calculateur de bois: le calculateur de bois (https://treeze.ch/de/rechner) permet de calculer les données écobilans de produits en bois d'origines très diverses. ",,,
,,,
08,Klebstoffe und Fugendichtungsmassen,,
08.001,2-Komponenten Klebstoff,kg,4.84
08.002,Heissbitumen,kg,1.09
08.003,Kautschukdichtungsmasse,kg,2.42
08.004,Polysulfiddichtungsmasse,kg,1.72
08.005,Silicon-Fugenmasse,kg,2.91
09,Dichtungsbahnen und Schutzfolien,,
09.001,Dampfbremse bituminös,kg,3.64
09.002,Dampfbremse Polyethylen (PE),kg,5.42
09.003,Dichtungsbahn bituminös,kg,3.33
09.003.11,"Bituminöse Dichtungsbahn, swissporBIKUPLAN ECO",kg,2.92
09.003.01,"Bituminöse Dichtungsbahn, swissporBIKUTOP",kg,3.24
09.003.02,"Bituminöse Dichtungsbahn, swissporBIKUTOP ECO",kg,2.88
09.003.12,Elastomerbitumen-Dichtungsbahn Sopravap EVA 35 flam,kg,3.05
09.003.13,Elastomerbitumen-Dichtungsbahn Sopralen EGV 3,kg,3.02
09.003.14,Elastomerbitumen-Dichtungsbahn Sopralen EGV 3.5,kg,3.01
09.003.15,Elastomerbitumen-Dichtungsbahn Sopralen Premier EP 5 ard flam,kg,3.06
09.003.16,Elastomerbitumen-Dichtungsbahn Sopralen Jardin EP 5 ard flam,kg,3.07
09.003.17,Elastomerbitumen-Dichtungsbahn Sopragum Flam HT-O Jardin S5,kg,3.38
09.003.18,Elastomerbitumen-Dichtungsbahn SOPREMA Vapro Alpino,kg,3.38
09.003.19,Elastomerbitumen-Dichtungsbahn SOPREMA Vapro Nature,kg,3.38
09.004,Dichtungsbahn Gummi (EPDM),kg,5.84
09.005,Dichtungsbahn Polyolefin (FPO),kg,5.18
9.01,Holzwolle-Erosionsschutzvlies,,
09.010.01,Holzwolle-Erosionsschutzvlies Howolis Lindner Suisse GmbH,kg,0.835
09.010.02,Holzwolle-Erosionsschutz-/Abdeck-/Schutz-/Dämmvlies Lindner Suisse GmbH,kg,0.546
09.006,Kraftpapier,kg,1.67
09.007,Polyethylenfolie (PE),kg,5.42
09.008,Polyethylenvlies (PE),kg,5.63
10,Wärmedämmstoffe,,
10.014,Aerogel-Vlies,kg,48.7
10.012,Blähperlit,kg,1.05
10.011,Blähvermiculit,kg,0.394
10.016,Flachsfasern,kg,1.01
10.016.01,"Flachsfasern, MAGRIPOL, Premium",kg,0.983
10.017,"Flachsfasern, feuerfest",kg,1.45
10.017.01,"Flachsfasern, feuerfest, MAGRIPOL, Premium+",kg,1.42
10.001,Glaswolle,kg,1.1
10.001.01,"Glaswolle, Isover, phenolbasiertes Bindemittel",kg,1.03
10.001.03,"Glaswolle, Isover, pflanzliches Bindemittel",kg,0.89
10.001.02,"Glaswolle, SUPAFIL",kg,1.14
10.002,Korkplatte,kg,1.11
10.003,Phenolharz (PF),kg,7.26
10.004,Polystyrol expandiert (EPS),kg,7.6
10.004.01,"Polystyrol expandiert, SwissporEPS",kg,6.95
10.004.02,swissporEPS Roof ECO,kg,5.75
10.004.03,swissporEPS R 100,kg,3.56
10.004.04,swissporLAMBDA REC 100%,kg,4.31
10.004.05,swissporLAMBDA White Mono REC100%,kg,4.48
10.004.06,swissporLAMBDA White REC 100%,kg,4.57
10.005,Polystyrol extrudiert (XPS),kg,14.4
10.005.02,"Polystyrol extrudiert, JACKODUR EVO",kg,6.65
10.005.01,"Polystyrol extrudiert, SwissporXPS",kg,6.96
10.006,Polyurethan (PUR/PIR),kg,7.44
10.006.01,"Polyurethan, SwissporPIR",kg,7.08
10.007,Schaumglas,kg,1.19
10.007.01,"Schaumglas, GLAPOR",kg,0.707
10.013,Schaumglasschotter,kg,0.266
10.013.01,"Schaumglasschotter 10/75, Misapor",kg,0.244
10.013.02,"Schaumglasschotter 10/50, Misapor",kg,0.239
10.008,Steinwolle,kg,0.816
10.008.01,"Steinwolle, Flumroc",kg,0.617
10.015,Strohballenwand,kg,0.0956
10.009,Weichfaserplatte,kg,0.725
10.010,Zellulosefasern,kg,0.28
10.010.01,"Zellulosefasern, Isofloc",kg,0.233
11,Bodenbeläge,,
11.001,"2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm",m2,18.4
11.002,"2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm",m2,13.9
11.003,"Gummigranulat versiegelt, 7.5 mm",m2,26.8
11.004,"Gussasphalt, 27.5 mm",m2,15.9
11.005,"Hartbeton einschichtig, 27.5 mm",m2,16.4
11.006,"Hartbeton zweischichtig, 35 mm",m2,16.4
11.007,"Kautschuk, 2 mm",m2,14.1
11.008,"Keramik-/Steinzeugplatte, 9 mm",m2,18.2
11.009,"Kork Fertigparkett, 10.5 mm",m2,9.07
11.010,"Kork PVC-beschichtet, 3.2 mm",m2,8.28
11.011,"Korkparkett geölt/versiegelt, 5.3 mm",m2,3.26
11.012,"Kunststeinplatte zementgebunden, 10 mm",m2,10.4
11.013,"Laminat, 8.5 mm",m2,10.4
11.014,"Linoleum, 2.5 mm",m2,6.36
11.015,"Natursteinplatte geschliffen, 15 mm",m2,16.8
11.015.01,"Natursteinplatte geschliffen, Europa, 15 mm",m2,16.6
11.015.02,"Natursteinplatte geschliffen, Schweiz, 15 mm",m2,13.4
11.015.03,"Natursteinplatte geschliffen, Übersee, 15 mm",m2,17.9
11.016,"Natursteinplatte geschnitten, 15 mm",m2,13.4
11.017,"Natursteinplatte poliert, 15 mm",m2,19.6
11.018,"Parkett 2-Schicht werkversiegelt, 11 mm",m2,7.8
11.019,"Parkett 3-Schicht werkversiegelt, 15 mm",m2,8.09
11.020,"Parkett Mosaik werkversiegelt, 8 mm",m2,3.57
11.021,"PVC homogen, 2 mm",m2,14.4
11.022,"Steinholz versiegelt, 16.5 mm",m2,12.9
11.023,"Synthetische thermoplastische Beläge (TPO), 2 mm",m2,16.0
11.024,Teppich Kunstfaser getuftet,m2,16.7
11.025,Teppich Nadelfilz,m2,9.84
11.026,Teppich Naturfaser,m2,5.08
11.027,"Terrazzo versiegelt, 40 mm",m2,17.3
12,Türen,,
12.005,"Aussentüre, Aluminium, Glaseinsatz",m2,216.0
12.006,"Aussentüre, Aluminium, Paneelfüllung",m2,192.0
12.008,"Aussentüre, Holz",m2,62.2
12.001,"Aussentüre, Holz, aluminiumbeplankt",m2,116.0
12.002,"Aussentüre, Holz, Glaseinsatz",m2,85.7
12.007,"Innentüre, Aluminium, Glaseinsatz",m2,166.0
12.009,"Innentüre, Funktionstüre, Holz, Holzrahmen",m2,44.3
12.012,"Innentüre, Funktionstüre, Holz, Stahlzarge",m2,96.8
12.004,"Innentüre, Zimmertüre, Holz, Glaseinsatz, Holzrahmen",m2,59.7
12.011,"Innentüre, Zimmertüre, Holz, Glaseinsatz, Stahlzarge",m2,112.0
12.003,"Innentüre, Zimmertüre, Holz, Holzrahmen",m2,32.3
12.010,"Innentüre, Zimmertüre, Holz, Stahlzarge",m2,84.8
"Türrechner: mit dem Türrechner (https://treeze.ch/de/rechner) können Umweltkennwerte von Türen mit projektspezifischen Abmessungen und Eigenschaften berechnet werden.                      
",,,
Calculateur de porte: le calculateur de porte (https://treeze.ch/fileadmin/user_upload/calculators/T%C3%BCrrechner_FR/T%C3%BCrrechner_FR.htm) permet de calculer les données environnementales des portes avec des dimensions et des caractéristiques spécifiques au projet.,,,
13,Rohre,,
13.001,Acrylnitril-Butadien-Styrol (ABS),kg,7.67
13.005,Gusseisen,kg,2.09
13.002,Polyethylen (PE),kg,4.75
13.003,Polypropylen (PP),kg,4.78
13.004,Polyvinylchlorid (PVC),kg,4.49
14,"Anstrichstoffe, Beschichtungen",,
14.002,"Anstrich, lösemittelverdünnbar, 2 Anstriche",m2,0.975
14.001,"Anstrich, wasserverdünnbar, 2 Anstriche",m2,0.701
14.003,"Bitumenemulsion, 1 Anstrich",m2,0.181
14.004,"Emaillieren, Metall",m2,8.11
14.005,"Pulverbeschichten, Aluminium",m2,3.64
14.006,"Pulverbeschichten, Stahl",m2,4.38
14.007,"Verchromen, Stahl",m2,0.609
14.008,"Verzinken, Stahl",m2,6.09
15,Kunststoffe,,
15.001,"Plexiglas (PMMA, Acrylglas)",kg,11.6
15.002,Polyamid (PA) glasfaserverstärkt,kg,11.5
15.003,Polycarbonat (PC),kg,11.4
15.004,Polyester (UP) glasfaserverstärkt,kg,9.84
15.005,Polystyrol (PS),kg,6.72
21,Kücheneinbauten und -möbel,,
21.001,Abfalltrennsystem,Stk.,24.2
21.002,"Arbeitsplatte Chromstahl, high-end",m2,332.0
21.003,"Arbeitsplatte Chromstahl, Standard",m2,56.8
21.004,Arbeitsplatte Kompositwerkstoff (auf Aluminiumhydroxidbasis),m2,95.5
21.005,Arbeitsplatte kunstharzbeschichtet,m2,20.2
21.006,Arbeitsplatte Massivholz,m2,12.6
21.007,Arbeitsplatte Naturstein,m2,41.1
21.008,Dampfabzug,Stk.,151.0
21.009,"Küche, Massivholz, 16-teilig",Stk.,470.0
21.010,"Küche, Metall, 16-teilig",Stk.,2770.0
21.011,"Küche, Spanplatte, 16-teilig",Stk.,632.0
21.012,Spüle Chromstahl,Stk.,48.6
21.013,Spüle Kompositwerkstoff (auf Gesteinsmehlbasis),Stk.,30.7
Mobiliarrechner: mit dem Mobiliarrechner können Umweltkennwerte von verschiedenen Möbel berechnet werden.,,,
Calculateur de mobilier: le calculateur de mobilier permet de calculer les données environnementales de différents meubles.,,,
,,,
,,,
,,,
,,,
,,,
